robot,condition,mirror_coeff,value_coeff,warmup_iterations,joint_index,joint_name,leg,pair,effort_limit_nm,torque_range_nm,mean_torque_nm,cycle_amplitude_nm,normalized_cycle_amplitude,cycle_count
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,16.578871726989746,-2.575716495513916,8.289435863494873,0.34976522630780055,0.5
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,15.425353050231934,-3.1524758338928223,7.712676525115967,0.32542938924539944,0.5
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,13.837864875793457,-2.358731746673584,6.9189324378967285,0.2919380775483852,0.5
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,6.683291912078857,-5.936018228530884,3.3416459560394287,0.14099771966411093,0.5
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,2.3462414741516113,-3.7674930095672607,1.1731207370758057,0.04949876527746016,0.5
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,0.24818873405456543,0.19367706775665283,0.12409436702728271,0.0034906994944383326,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,0.2862386703491211,-1.4428050518035889,0.14311933517456055,0.004025860342463026,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,9.291244983673096,-0.14117693901062012,4.645622491836548,0.1306785511065133,0.5
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,0.2931981086730957,0.2072826623916626,0.14659905433654785,0.004123742738018224,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,0.3876824676990509,0.33533547818660736,0.19384123384952545,0.0054526366764986066,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,23.281699657440186,9.817936182022095,11.640849828720093,0.3274500655054879,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,23.553317546844482,9.873127222061157,11.776658773422241,0.3312702889851545,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,0.06650382280349731,0.8963998854160309,0.03325191140174866,0.0009353561575738019,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,0.5375199913978577,0.34706053137779236,0.26875999569892883,0.007560056137803906,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,23.328646183013916,10.08939814567566,11.664323091506958,0.32811035419147566,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,0.171017587184906,0.697557657957077,0.085508793592453,0.0024053106495767374,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,0.5661105513572693,0.3118871748447418,0.28305527567863464,0.007962173718105054,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,23.984720706939697,10.516417264938354,11.992360353469849,0.3373378439794613,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,0.14457666873931885,0.5186498761177063,0.07228833436965942,0.0020334271271352862,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,0.3679006099700928,0.17823171615600586,0.1839503049850464,0.005174410829396524,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,0.27099788188934326,0.17892366647720337,0.13549894094467163,0.003811503261453492,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,0.19977164268493652,-1.5436710119247437,0.09988582134246826,0.0028097277452171104,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,24.003620147705078,9.73392105102539,12.001810073852539,0.3376036588988056,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,0.2984938621520996,0.15074968338012695,0.1492469310760498,0.004198225909312231,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,0.6190570592880249,-1.4031286835670471,0.30952852964401245,0.008706850341603727,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,26.06871747970581,8.704677820205688,13.034358739852905,0.3666486284065515,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,27.45002841949463,8.938214778900146,13.725014209747314,0.3860763490786868,0.5
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,0.2990216016769409,0.2618967890739441,0.14951080083847046,0.004205648406145442,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,0.8460049629211426,-1.4296879768371582,0.4230024814605713,0.01189880397920032,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,25.193678379058838,8.924666166305542,12.596839189529419,0.3543414680598993,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,0.1236109733581543,1.37491774559021,0.06180548667907715,0.0017385509614367693,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,0.37248897552490234,0.30882585048675537,0.18624448776245117,0.005238944803444478,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,0.678301215171814,0.7860884070396423,0.339150607585907,0.009540101479209761,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,2,FL_calf_joint,front_left,front,35.55,0.4459034204483032,0.4907473921775818,0.2229517102241516,0.0062714967714248,1.0
