robot,condition,mirror_coeff,value_coeff,warmup_iterations,leg_index,leg,pair,vertical_grf_impulse_ns_per_s,vertical_grf_impulse_ns_per_m,grf_impulse_ns_per_m,contact_duty_factor,vertical_force_contact_mean_n,vertical_force_p95_n,vertical_force_p99_n,vertical_force_peak_n,positive_vertical_loading_rate_p95_nps,positive_vertical_loading_rate_p99_nps,positive_vertical_loading_rate_peak_nps,vertical_grf_impulse_ns_per_m_change_vs_same_foot_percent,vertical_force_p99_n_change_vs_same_foot_percent,vertical_force_peak_n_change_vs_same_foot_percent,positive_vertical_loading_rate_p99_nps_change_vs_same_foot_percent,positive_vertical_loading_rate_peak_nps_change_vs_same_foot_percent
x1,"0.20/0.10, w=500",0.2,0.1,500,1,front_right,front,46.02595284634167,83.08716783652179,84.02269793710548,0.5444444444444444,84.53746441164795,119.38353309631346,123.13809585571289,124.7142562866211,1550.9844970703455,4349.940582275481,4773.044204712016,29.932059228067786,24.688026953909702,25.40588689820078,51.67049034589446,42.174803535797814
x1,"0.20/0.10, w=500",0.2,0.1,500,2,rear_left,hind,46.74473613669342,84.38473288819873,85.54895377810394,0.5488888888888889,85.16247474296372,150.36259918212892,171.20834732055664,292.1319580078125,3681.959457397539,8139.830841064615,14606.597900390936,-17.27363068309069,19.31974239643739,45.13953406391469,46.51826820540323,45.13953406391469
x1,"0.20/0.10, w=500",0.2,0.1,500,3,rear_right,hind,36.21335046443674,65.37321971381189,66.27639872457242,0.44222222222222224,81.88948597485695,110.60259208679199,118.30287185668945,128.3473358154297,1840.0134658813813,3465.652893066477,3584.6328735352326,-0.9939804334611946,-2.6000563248045117,3.862461099599468,40.6662393861142,10.455914961322964
x1,"0.30/0.15, w=10",0.3,0.15,10,0,front_left,front,53.789926567077636,99.60487330908757,100.57542439104856,0.5288888888888889,101.70364266884427,178.84429702758788,320.4667475891096,466.05242919921875,358.68377685547574,16118.370849609546,23302.621459961436,3.988309510624055,81.31379979201934,49.2659857126325,100.35837498908688,49.2659857126325
x1,"0.30/0.15, w=10",0.3,0.15,10,1,front_right,front,45.83737313431105,84.87882462845447,85.99345256088179,0.6044444444444445,75.83388937661755,119.66472549438474,128.90679000854493,136.33993530273438,2610.173187255913,4481.027954101657,5418.06144714367,32.733859583855576,30.529331279908114,37.096038699762616,56.24114725188611,61.38795048913836
x1,"0.30/0.15, w=10",0.3,0.15,10,2,rear_left,hind,46.537460821849514,86.17520389261952,87.15796938573021,0.5088888888888888,91.44915882022829,138.76850509643552,160.482742767334,327.56854248046875,2828.9353942871585,8024.271056644842,16378.427124023787,-15.518346753245527,11.844777580963584,62.74544542757432,44.438173444470785,62.74544542757432
x1,"0.30/0.15, w=10",0.3,0.15,10,3,rear_right,hind,41.699431187907436,77.21643857150536,77.77627130075594,0.5177777777777778,80.53538212256801,103.77975883483886,106.99589752197267,108.87727355957031,1506.463394165071,3040.9851074219387,3934.6134185791852,16.94226261971472,-11.909201961373627,-11.893289269570772,23.429539047613268,21.240121513378508
x1,"0.30/0.15, w=100",0.3,0.15,100,0,front_left,front,49.42362085137303,87.09741811108381,88.16015304046684,0.4622222222222222,106.92605304015242,172.78515701293924,212.94382995605451,611.049072265625,3426.0345458985094,10657.394165039272,30552.4536132819,-9.06957690708412,20.479442070232267,95.70511036115639,32.47605458694176,95.70511036115636
x1,"0.30/0.15, w=100",0.3,0.15,100,1,front_right,front,48.80851649810785,86.013442471189,87.42872603838708,0.5777777777777777,84.47627855441687,130.06595077514646,133.01769699096678,134.18527221679688,1653.0742645264015,4374.534286499114,4735.70899963389,34.50817969347189,34.69198197762435,34.92942645105697,52.52800531844821,41.06269871981662
x1,"0.30/0.15, w=100",0.3,0.15,100,2,rear_left,hind,47.45862321025194,83.63457548264327,84.70296054797105,0.5466666666666666,86.81455465289989,133.16142120361326,163.8210063171386,310.537109375,2795.169067382865,8129.752807617351,15526.855468750331,-18.009045685944525,14.171304021104469,54.28374105867961,46.336861977627606,54.28374105867961
x1,"0.30/0.15, w=100",0.3,0.15,100,3,rear_right,hind,40.79078170352512,71.88408513803122,72.39828801495294,0.4488888888888889,90.8705532999322,132.04134140014648,141.04011154174805,144.83094787597656,1786.776275634801,3470.011001586988,4599.07875061045,8.866553779284136,16.11974168091821,17.201487621205082,40.843129211879315,41.71477785864879
x1,"0.30/0.15, w=500",0.3,0.15,500,0,front_left,front,55.04101942160684,103.469527070188,104.75509620722715,0.47555555555555556,115.737819113464,178.86149444580076,243.9476850891113,726.6922607421875,2156.522674560585,12198.778900146743,36334.613037110146,8.023039921992826,38.02081516015863,132.74299158959474,51.63613866991832,132.7429915895947
x1,"0.30/0.15, w=500",0.3,0.15,500,1,front_right,front,51.62032860226101,97.0390999986991,98.00454819254641,0.6133333333333333,84.16357924281687,124.52407875061034,129.4256492614746,139.47523498535156,1499.7831726074523,6170.932693481576,6565.884399414203,51.75014887108931,31.054721380063533,40.248725883228055,115.16348782453059,95.57818542805585
