run,label,velocity_mps,direction,family,metric,metric_label,unit,cells,signed_imbalance_percent,mean_absolute_imbalance_percent,total_per_directed_m
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.5,backward,bound,vertical_grf_impulse,Vertical GRF impulse,N s,1,3.1505732939124775,3.1505732939124775,112.59303765400288
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.5,backward,half_bound,vertical_grf_impulse,Vertical GRF impulse,N s,4,7.83132005781369,7.83132005781369,112.2395917514675
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.5,backward,gallop,vertical_grf_impulse,Vertical GRF impulse,N s,4,2.6545260039440626,3.2276779837268723,111.88261309985144
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.5,backward,all_family_balanced,vertical_grf_impulse,Vertical GRF impulse,N s,10,3.701919138596696,3.8452071335423987,112.8383751059623
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.0,backward,trot,torque_squared,Torque²,N² m² s,1,-0.7412492181504943,0.7412492181504943,212.8264185451756
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.0,backward,bound,torque_squared,Torque²,N² m² s,1,-1.8286185256677054,1.8286185256677054,415.4312995549528
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.0,backward,half_bound,torque_squared,Torque²,N² m² s,4,0.2513290105236499,4.204059295864645,316.3028635127783
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.0,backward,gallop,torque_squared,Torque²,N² m² s,4,-4.37608315774274,5.791980357101184,285.5987533052681
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.0,backward,all_family_balanced,torque_squared,Torque²,N² m² s,10,-1.6736554727593225,3.1414768491960072,307.5398337295437
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.0,backward,trot,absolute_work,Absolute work,J,1,13.760529194165388,13.760529194165388,57.672038519758964
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.0,backward,bound,absolute_work,Absolute work,J,1,-15.115820997721052,15.115820997721052,284.9533063380561
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.0,backward,half_bound,absolute_work,Absolute work,J,4,-2.8261421132451106,5.252265403831054,169.3315283962483
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,-1.0,backward,gallop,absolute_work,Absolute work,J,4,4.904350240681806,6.614155165963295,127.23310598283655
